"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789657279052366019","Sun May 12 14:02:00 +0000 2024","0","Kalian sedih apalagi kami ..... Liat nathan sampai ngegenggam tangan kaya nahan sedih banget. Timnas U23 kalian Hebat dan Terimakasih atas perjuangan kalian. Coach Shin Terimakasih atas dedikasimu Sampai ketemu lagi 2026 ","1789657279052366019","","","in","","0","0","0","https://twitter.com/Wellies1414/status/1789657279052366019","1500980883700199425","Wellies1414"
"1789635557003587804","Sun May 12 14:00:23 +0000 2024","0","@kaitou_kicks @Indostransfer pemain u23 kebanyakan di senior udah bener pemain Full Liga 1 aja","1789656873001763154","","kaitou_kicks","in","","0","0","0","https://twitter.com/eza_pri/status/1789656873001763154","1646782553502695424","eza_pri"
"1789656705800011841","Sun May 12 13:59:43 +0000 2024","0","Sudah sering saya sampaikan bahwa tim Garuda U23 kita sudah lebih bagus dibanding 2 tahun yang lalu. Dalam laga piala Asia dan play off olympiade tim kita sering kalah karena wasitnya curang wasit melakukan kesalahan entah sengaja atau tidak. https://t.co/uNKkkigy2h","1789656705800011841","","","in","Semarang City","0","0","0","https://twitter.com/donibar/status/1789656705800011841","74681935","donibar"
"1789635557003587804","Sun May 12 13:56:50 +0000 2024","0","@Indostransfer @Bondan_ts 100% gua yakin bakal dihujat kalo kalah mau pake u20 kek senior u23 tetap aja kalo kalah pasti dihujat ama netizen kntl","1789655980541915206","","Indostransfer","in","","0","0","0","https://twitter.com/eza_pri/status/1789655980541915206","1646782553502695424","eza_pri"
"1789635557003587804","Sun May 12 13:52:43 +0000 2024","0","@Indostransfer Pake U23 juga gas ini mah","1789654944104276394","","Indostransfer","in","","0","0","0","https://twitter.com/jeki05624057454/status/1789654944104276394","1680651410919280640","jeki05624057454"
"1789639396461010944","Sun May 12 13:40:57 +0000 2024","46","@garagarabola_ Bapak @erickthohir please banget ini jangan ganggu pemain di klub eropa/jepang. Klo mau pemain U23 atau full liga 1 saja. Kalo juara pun Turnamen ini engagement nya udah gak tinggi tinggi banget jadiin pembinaan aja","1789651982174900670","","garagarabola_","in","","0","4","3","https://twitter.com/hallofe8/status/1789651982174900670","1295245436454723585","hallofe8"
"1789645234831540402","Sun May 12 13:40:41 +0000 2024","0","@SiaranBolaLive Turunin U23 aja","1789651916567584967","","SiaranBolaLive","in","Karawang, Jawa Barat","0","0","0","https://twitter.com/Bawanx84/status/1789651916567584967","936432070233960449","Bawanx84"
"1789651604209279391","Sun May 12 13:39:27 +0000 2024","0","Ini saatnya kita! 🇲🇨 Kesempatan emas untuk menghadirkan piala itu untuk kali pertama ke tanah air. Terbuka lebar. Performa gila di Piala Asia 2024 pra-Piala Dunia 2026 dan Piala Asia U23 Memberikan kita kembali harapan untuk berpesta yang akankah kali ini jadi nyata. https://t.co/qt4pfuPgD8","1789651604209279391","https://pbs.twimg.com/media/GNYeo2LbgAA13e1.jpg","","in","","0","0","0","https://twitter.com/AWildanzj/status/1789651604209279391","211798140","AWildanzj"
"1789645234831540402","Sun May 12 13:31:29 +0000 2024","0","@aaaligun @SiaranBolaLive Cukup yg u23 kemarin aja tanpa ivar hubner struick dan nathan","1789649598761603295","","aaaligun","in","Bandung, Indonesia","0","0","0","https://twitter.com/NugrahaFajar95/status/1789649598761603295","802271150","NugrahaFajar95"
"1789646992391729643","Sun May 12 13:26:25 +0000 2024","2","@gilabola_ina @theaseanball Vietnam Indonesia Singapura Kamboja Laos Pakai pemain2 u20 dan tambahan dari pemain u23 + beberapa pemain senior dari Liga 1","1789648325224104013","","gilabola_ina","in","DIY,Daerah Istimewa Yogyakarta","0","0","0","https://twitter.com/aardwi15/status/1789648325224104013","1923596941","aardwi15"
"1789645234831540402","Sun May 12 13:20:49 +0000 2024","0","@SiaranBolaLive Kalo kirim pemain u23 bolehlah atau full lokal tapi kalo bawa pemain abroad gak dulu.","1789646914180513952","","SiaranBolaLive","in","","0","0","0","https://twitter.com/fauzisilmi77/status/1789646914180513952","804426516176044033","fauzisilmi77"
"1789645234831540402","Sun May 12 13:20:26 +0000 2024","1","@SiaranBolaLive Kirim aja pemain cadangan yg jarang diturunkan dari tim senior dan U23","1789646820953739277","","SiaranBolaLive","in","Kolong Langit","0","0","0","https://twitter.com/kumbang_tanduak/status/1789646820953739277","2175699494","kumbang_tanduak"
"1789645234831540402","Sun May 12 13:20:16 +0000 2024","0","@SiaranBolaLive U23 lig un aja udah yg main","1789646776330547562","","SiaranBolaLive","in","Tulungagung, Indonesia","0","0","0","https://twitter.com/aryfse/status/1789646776330547562","199611922","aryfse"
"1789646307251871951","Sun May 12 13:18:24 +0000 2024","0","Erick: Pemain Timnas U23 punya bekal kualifikasi Piala Dunia 2026 https://t.co/H1BvDXdphL","1789646307251871951","","","in","Malang, Jawa Timur","0","0","0","https://twitter.com/24hourindonesia/status/1789646307251871951","274921797","24hourindonesia"
"1789630866890846357","Sun May 12 13:17:48 +0000 2024","1","@TwtBolaPahang persoalan lebih penting kenapa dia xdigunakan masa AFC U23.....","1789646158345941383","","TwtBolaPahang","in","","0","1","0","https://twitter.com/MiMestalla/status/1789646158345941383","410242011","MiMestalla"
"1789645234831540402","Sun May 12 13:16:33 +0000 2024","1","@SiaranBolaLive Kirim pemain u20 + beberapa pemain u23 terus di tambah beberapa pemain senior yang main di Liga 1","1789645842259021839","","SiaranBolaLive","in","DIY,Daerah Istimewa Yogyakarta","0","0","0","https://twitter.com/aardwi15/status/1789645842259021839","1923596941","aardwi15"
"1789635557003587804","Sun May 12 13:14:16 +0000 2024","0","@Indostransfer Semoga aja yang main pemain2 u20 + pemain keturunan buat ajang seleksi di tambah beberapa pemain dari u23 dan ada pemain seniornya yg main di Liga 1","1789645267899490595","","Indostransfer","in","DIY,Daerah Istimewa Yogyakarta","0","1","0","https://twitter.com/aardwi15/status/1789645267899490595","1923596941","aardwi15"
